number	OP	bonus	function	src1		src2		result		zcv
1		d	0		NAND		11111111	11111111	eeeeeeee	0
2		0	0		AND			ffff0000	0000ffff	00000000	4
3		1	0		OR			3113c398	088e4954	399fcbdc	0
4		2	0		ADDU		ffffffff	00000001	00000000	7
5		6	0		SUBU		7eda5023	2ec36ae5	5016e53e	2
6		7	0		SLTU		00000001	ffffffff	00000001	1
7		c	0		NOR			00000000	00000000	ffffffff	0
8		7	3		SEQ			78563412	78563412	00000001	0
9		7	7		SGEU		7fee3c5b	f1bcbbfa	00000000	5
10		7	1		SLEU		787207f7	f66926e8	00000001	1
11		7	6		SGTU		4760ee5a	07c09267	00000001	0
12		7	2		SNE			11111111	11111111	00000000	4
