dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,x,y,pitch_type,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,speed,px,pz,pxold,pzold,tm_spin,sb
2015/5/22,150522_191433pit,a8548cfb-25be-4d74-a4da-3a6fab7edcd6,5,1,592789,543281,4,Strikeout,B,25,3.4,1.58,-2.35,9.46,FF,19,2,R,0,0,R,gid_2015_05_22_nynmlb_pitmlb_1/,Ball,193.838,-0.730769,1,nyn,0.071895612,-137.927097,0.289575439,-2.610708496,9.633307715,-2.35,9.46,-1.653239312,55,6.158506761,8.661231527,-141.4030909,-8.345309458,-5.189000179,32.36500052,-13.03200005,96.76,1.376172319,1.818808759,1.373,1.825,2011,0
2015/5/22,150522_191447pit,e8270305-0f0a-4934-9367-fa96cc244cf8,5,2,592789,543281,4,Strikeout,B,26,3.58,1.58,-2.07,9.51,FF,14,2,R,0,1,R,gid_2015_05_22_nynmlb_pitmlb_1/,Ball,192.189,-0.178,1,nyn,0.072194332,-137.4200585,0.290054898,-2.333144186,9.676340016,-2.07,9.51,-1.760664353,55,6.094551552,8.285893916,-140.6921905,-6.706858222,-4.62199979,30.33400038,-13.00999973,96.2,1.17054968,2.395725964,1.166,2.402,2010,10
2015/5/22,150522_191503pit,25614bf9-ee40-4410-952c-72b979a9732c,5,3,592789,543281,4,Strikeout,S,27,3.4,1.58,-2.54,8.35,FF,19,2,R,0,2,R,gid_2015_05_22_nynmlb_pitmlb_1/,Called Strike,196.786,-0.773626,1,nyn,0.071442144,-138.8617994,0.287089413,-2.794049297,8.514679595,-2.54,8.35,-1.65884028,55,6.073216676,7.743457191,-142.1835762,-7.956843803,-5.650000145,31.11900023,-14.96099995,97.24,0.952608602,1.779315565,0.948,1.786,1821,20
2015/5/22,150522_191517pit,7e0e74c7-611d-45a8-accc-2f27c4c84f37,5,4,592789,543281,4,Strikeout,S,28,3.58,1.58,-2.69,9.76,FF,13,2,R,1,2,R,gid_2015_05_22_nynmlb_pitmlb_1/,Swinging Strike,195.299,-0.087,1,nyn,0.071848277,-138.08937,0.288581297,-2.949081787,9.930040955,-2.69,9.76,-1.829229589,55,6.116796165,7.94056576,-141.3551348,-6.732043712,-5.902,30.42000082,-12.30600021,96.64,0.852103743,2.486777401,0.848,2.493,2102,21
2015/5/22,150522_191534pit,cf3b525d-c8c6-4b3b-9573-6c80de229745,5,5,592789,543281,4,Strikeout,S,29,3.58,1.58,-9.23,5.64,CH,23,2,R,2,2,R,gid_2015_05_22_nynmlb_pitmlb_1/,Foul Tip,238.328,-1.746,1,nyn,0.07911628,-125.4084699,0.317710339,-9.538211155,5.850474523,-9.23,5.64,-1.758817861,55,6.040390877,8.742810255,-128.360369,-7.037472215,-15.74900012,24.97000006,-22.51899956,87.85,0.555996295,0.83292575,0.555,0.834,2037,22
2015/5/22,150522_191606pit,59f3e514-80a0-49f1-a982-8e945d5f034f,4,1,592789,435522,5,Strikeout,S,33,3.66,1.7,-7.12,6.69,FF,15,2,L,0,0,R,gid_2015_05_22_nynmlb_pitmlb_1/,Called Strike,226.606,-0.702041,1,nyn,0.070651026,-140.539531,0.282589715,-7.369198934,6.855079963,-7.12,6.69,-1.650366206,55,6.137659342,4.627621811,-143.532748,-7.230268307,-15.37999969,28.34299925,-17.8720002,98.04,-1.012792662,1.984303991,-1.018,1.992,2080,0
2015/5/22,150522_191621pit,59cb0c98-e96f-4421-ba1b-b52f036ae907,4,2,592789,435522,5,Strikeout,B,34,3.52,1.7,-10.36,4.05,CH,21,2,L,1,0,R,gid_2015_05_22_nynmlb_pitmlb_1/,Ball,248.414,-1.5978,1,nyn,0.079424118,-124.9046833,0.319189106,-10.67495975,4.261915106,-10.36,4.05,-1.728942132,55,6.006607322,6.711345457,-127.8978887,-5.559737092,-17.46300082,25.22300032,-25.20699928,87.41,-0.464323912,1.15592801,-0.466,1.156,2083,1
2015/5/22,150522_191652pit,5e93bd34-e57d-4ffb-960b-9b4a073c9cfc,4,3,592789,435522,5,Strikeout,S,35,3.56,1.7,-7.08,9.07,FF,18,2,L,1,1,R,gid_2015_05_22_nynmlb_pitmlb_1/,Called Strike,217.814,-0.64086,1,nyn,0.07164324,-138.54702,0.287065655,-7.333041704,9.24059171,-7.08,9.07,-1.417738624,55,6.330081364,8.045455972,-141.6361774,-8.259054856,-14.8309999,28.85100058,-13.49000023,96.89,0.601317596,2.02710209,0.596,2.034,2406,11
2015/5/22,150522_191715pit,0f862642-0926-4cef-a000-f14adc5780ed,4,4,592789,435522,5,Strikeout,S,36,3.66,1.7,6.98,-0.8,CU,22,2,L,2,1,R,gid_2015_05_22_nynmlb_pitmlb_1/,Foul Tip,83.8831,-1.54898,1,nyn,0.086564133,-114.6525714,0.347067376,6.589171224,-0.547833343,6.98,-0.8,-1.542352263,55,6.104910801,1.845782702,-117.2490602,-2.517261321,9.117000053,20.07099989,-32.93700073,79.97,0.371744364,1.167509989,0.376,1.162,1209,12
2015/5/22,150522_191750pit,76aa0225-14a2-42e6-9cb2-69f0948377da,5,1,592789,457705,6,Strikeout,S,40,3.47,1.6,-7.41,7.73,FF,13,2,R,0,0,R,gid_2015_05_22_nynmlb_pitmlb_1/,Called Strike,223.638,-0.393583,1,nyn,0.07128375,-139.2338476,0.285755078,-7.662106003,7.892865187,-7.41,7.73,-1.534523954,55,6.176766367,8.91523345,-142.3739595,-7.086609715,-15.63900047,29.47600058,-16.0690007,97.38,0.759461186,2.160404179,0.754,2.167,2248,0
